id	phone	usage_type
70905	(893) 8095275	Work
70906	(541) 6944929	Work
70906	(162) 3551912	Home
70907	(402) 8369745	Work
70907	(939) 4145677	Home
70908	(512) 6638010	Work
70909	(818) 3623123	Work
70909	(555) 9664440	Home
70910	(146) 9235301	Work
70910	(572) 3361073	Home
70911	(846) 5208672	Work
70912	(382) 3570971	Work
70912	(200) 8129585	Home
70913	(567) 6197591	Work
70913	(716) 2987249	Home
70914	(760) 6189701	Work
70915	(469) 5508473	Work
70915	(460) 6730424	Home
70916	(395) 5413372	Work
70916	(195) 3638142	Home
70917	(902) 9548701	Work
70918	(627) 3584375	Work
70918	(129) 3839319	Home
70919	(181) 5142234	Work
70919	(316) 6488499	Home
70920	(691) 2753907	Work
70921	(623) 5721470	Work
70921	(799) 8033291	Home
70922	(154) 8591357	Work
70922	(619) 3787177	Home
70923	(642) 3890224	Work
70924	(883) 4880627	Work
70924	(510) 9790398	Home
70925	(119) 5609333	Work
70925	(161) 4984920	Home
70926	(938) 3625457	Work
70927	(267) 1622452	Work
70927	(315) 5581062	Home
70928	(698) 5367042	Work
70928	(441) 6739158	Home
70929	(326) 2404536	Work
70930	(217) 9873687	Work
70930	(729) 9644099	Home
70931	(246) 8532575	Work
70931	(919) 4506301	Home
70932	(177) 1639944	Work
70933	(186) 8006282	Work
70933	(610) 4796022	Home
70934	(997) 2984812	Work
70934	(661) 1014261	Home
70935	(374) 9490758	Work
70936	(604) 1284881	Work
70936	(645) 3668943	Home
70937	(135) 8458210	Work
70937	(432) 4541898	Home
70938	(958) 5582945	Work
70939	(631) 5210637	Work
70939	(312) 9832947	Home
70940	(828) 4072018	Work
70940	(580) 5394031	Home
70941	(294) 7151968	Work
70942	(648) 2423986	Work
70942	(790) 3890771	Home
70943	(682) 5878430	Work
70943	(293) 6836563	Home
70944	(254) 5143030	Work
70945	(440) 7169985	Work
70945	(111) 9719782	Home
70946	(620) 4639327	Work
70946	(108) 1201027	Home
70947	(116) 1241261	Work
70948	(372) 8287528	Work
70948	(314) 7269108	Home
70949	(107) 2677001	Work
70949	(644) 7697490	Home
70950	(768) 7720978	Work
70951	(491) 8779442	Work
70951	(976) 2137321	Home
70952	(453) 8454106	Work
70952	(874) 3409778	Home
70953	(936) 2665350	Work
70954	(890) 4632648	Work
70954	(413) 5791099	Home
70955	(188) 4581953	Work
70955	(247) 6799121	Home
70956	(142) 1080652	Work
70957	(492) 7590791	Work
70957	(797) 2313151	Home
70958	(819) 5378055	Work
70958	(345) 2575106	Home
70959	(242) 8344879	Work
70960	(650) 4260659	Work
70960	(338) 9637402	Home
70961	(887) 9266062	Work
70961	(339) 7842135	Home
70962	(258) 3922629	Work
70963	(592) 7256334	Work
70963	(618) 5647742	Home
70964	(437) 7966292	Work
70964	(131) 9626337	Home
70965	(851) 2002192	Work
70966	(157) 9781877	Work
70966	(901) 8347127	Home
70967	(350) 3437405	Work
70967	(865) 8343892	Home
70968	(133) 5237595	Work
70969	(802) 2616051	Work
70969	(459) 5550106	Home
70970	(472) 1350881	Work
70970	(489) 9239233	Home
70971	(598) 2259242	Work
70972	(740) 6237305	Work
70972	(241) 2815109	Home
70973	(567) 1532539	Work
70973	(158) 2531653	Home
70974	(153) 7406743	Work
70975	(741) 6569990	Work
70975	(939) 4032579	Home
70976	(824) 9968333	Work
70976	(967) 2779695	Home
70977	(423) 4275790	Work
70978	(534) 1582487	Work
70978	(177) 6127277	Home
70979	(551) 9464907	Work
70979	(605) 8404645	Home
70980	(841) 5084429	Work
70981	(819) 8003013	Work
70981	(578) 9648432	Home
70982	(472) 1699782	Work
70982	(750) 9691720	Home
70983	(506) 3190867	Work
70984	(400) 7202909	Work
70984	(810) 1358614	Home
70985	(199) 5422167	Work
70985	(311) 2436679	Home
70986	(519) 2326203	Work
70987	(864) 7837831	Work
70987	(873) 9829682	Home
70988	(417) 1010894	Work
70988	(669) 5176111	Home
70989	(567) 6504415	Work
70990	(295) 2489329	Work
70990	(955) 2980168	Home
70991	(939) 7960761	Work
70991	(452) 9689683	Home
70992	(503) 8320809	Work
70993	(669) 4206025	Work
70993	(541) 5730966	Home
70994	(892) 7017943	Work
70994	(509) 2923613	Home
70995	(128) 8479597	Work
70996	(828) 4560000	Work
70996	(594) 2256668	Home
70997	(924) 5875294	Work
70997	(205) 6003725	Home
70998	(911) 1460248	Work
70999	(466) 7688729	Work
70999	(433) 9834758	Home
71000	(876) 5228264	Work
71000	(867) 1485819	Home
71001	(755) 7364113	Work
71002	(987) 8843294	Work
71002	(606) 3413935	Home
71003	(557) 2621603	Work
71003	(837) 2026278	Home
71004	(410) 9426797	Work
71005	(187) 2759207	Work
71005	(648) 8736170	Home
71006	(308) 9330460	Work
71006	(693) 6635510	Home
71007	(984) 8716249	Work
71008	(232) 1939540	Work
71008	(161) 3611165	Home
71009	(169) 3796543	Work
71009	(596) 9520117	Home
71010	(554) 2717496	Work
71011	(635) 1035535	Work
71011	(215) 9163700	Home
71012	(292) 8179888	Work
71012	(498) 4050644	Home
71013	(191) 8194595	Work
71014	(531) 4899537	Work
71014	(882) 2557381	Home
71015	(264) 1633965	Work
71015	(934) 9057110	Home
71016	(719) 3640350	Work
71017	(679) 5645532	Work
71017	(333) 1680907	Home
71018	(121) 1593178	Work
71018	(762) 3684997	Home
71019	(884) 5205424	Work
71020	(621) 2672486	Work
71020	(535) 6300740	Home
71021	(461) 2949035	Work
71021	(344) 7625614	Home
71022	(654) 6394923	Work
71023	(823) 7444289	Work
71023	(593) 6368012	Home
71024	(108) 7335564	Work
71024	(481) 1702161	Home
71025	(481) 5061209	Work
71026	(403) 9100878	Work
71026	(550) 1682330	Home
71027	(643) 5277421	Work
71027	(407) 2137233	Home
71028	(282) 9295175	Work
71029	(606) 1383973	Work
71029	(438) 7716780	Home
71030	(495) 9156006	Work
71030	(713) 5104393	Home
71031	(869) 3492340	Work
71032	(710) 7482283	Work
71032	(510) 7790644	Home
71033	(606) 8364314	Work
71033	(313) 9608690	Home
71034	(438) 9200709	Work
71035	(844) 9875456	Work
71035	(633) 9470566	Home
71036	(643) 1706027	Work
71036	(822) 5678353	Home
71037	(163) 8263849	Work
71038	(680) 2762421	Work
71038	(856) 5013531	Home
71039	(152) 7931589	Work
71039	(244) 9225484	Home
71040	(905) 2074767	Work
71041	(269) 3074165	Work
71041	(209) 9603790	Home
71042	(226) 5249169	Work
71042	(670) 1557837	Home
71043	(665) 3035863	Work
71044	(855) 2876062	Work
71044	(498) 1528154	Home
71045	(863) 5040431	Work
71045	(785) 5539135	Home
71046	(392) 5750341	Work
71047	(371) 1079345	Work
71047	(643) 2007431	Home
71048	(279) 9352144	Work
71048	(262) 9631594	Home
71049	(602) 8860311	Work
71050	(955) 8670615	Work
71050	(816) 5406488	Home
71051	(957) 9607945	Work
71051	(663) 9833600	Home
71052	(913) 7633768	Work
71053	(682) 6473136	Work
71053	(776) 9036674	Home
71054	(194) 6800565	Work
71054	(779) 7107780	Home
71055	(957) 9148701	Work
71056	(591) 9386314	Work
71056	(711) 1184145	Home
71057	(881) 5041005	Work
71057	(246) 9141037	Home
71058	(472) 7016509	Work
71059	(366) 5662611	Work
71059	(163) 9108976	Home
71060	(493) 1483813	Work
71060	(930) 6252248	Home
71061	(241) 9405548	Work
71062	(397) 8830736	Work
71062	(363) 3988119	Home
71063	(768) 5857905	Work
71063	(543) 7323772	Home
71064	(655) 1577457	Work
71065	(668) 5303700	Work
71065	(708) 7894598	Home
71066	(398) 9833119	Work
71066	(845) 6972068	Home
71067	(209) 2747575	Work
71068	(343) 4753418	Work
71068	(172) 5007746	Home
71069	(544) 4990414	Work
71069	(156) 2984394	Home
71070	(875) 2824085	Work
71071	(253) 1627475	Work
71071	(765) 2700918	Home
71072	(493) 1095688	Work
71072	(635) 3855112	Home
71073	(447) 4666087	Work
71074	(201) 2908606	Work
71074	(939) 5067684	Home
71075	(849) 9761207	Work
71075	(805) 2782008	Home
71076	(853) 6154328	Work
71077	(390) 8825753	Work
71077	(198) 9159478	Home
71078	(776) 1714862	Work
71078	(892) 6836599	Home
71079	(807) 5387661	Work
71080	(646) 5152340	Work
71080	(139) 6874415	Home
71081	(689) 3809511	Work
71081	(631) 4364060	Home
71082	(742) 9246028	Work
71083	(345) 8525187	Work
71083	(451) 1058735	Home
71084	(356) 3114683	Work
71084	(573) 2090786	Home
71085	(108) 7069973	Work
71086	(422) 2239383	Work
71086	(919) 5808076	Home
71087	(497) 5937912	Work
71087	(677) 1921500	Home
71088	(554) 7391871	Work
71089	(694) 1739693	Work
71089	(406) 3336160	Home
71090	(483) 8822384	Work
71090	(377) 4473897	Home
71091	(751) 8424060	Work
71092	(306) 2455791	Work
71092	(120) 1439945	Home
71093	(269) 4143167	Work
71093	(230) 6125975	Home
71094	(801) 6396258	Work
71095	(258) 8240216	Work
71095	(485) 7571792	Home
71096	(604) 2163110	Work
71096	(728) 1179232	Home
71097	(800) 2008523	Work
71098	(919) 2742802	Work
71098	(700) 8985778	Home
71099	(621) 7538600	Work
71099	(506) 1816139	Home
71100	(554) 6288822	Work
71101	(471) 8963050	Work
71101	(367) 3706211	Home
71102	(585) 3598882	Work
71102	(195) 3299762	Home
71103	(227) 5876987	Work
71104	(349) 4709522	Work
71104	(673) 2456619	Home
71105	(964) 8534156	Work
71105	(758) 8689845	Home
71106	(816) 2842316	Work
71107	(122) 9484740	Work
71107	(931) 9476107	Home
71108	(801) 5554244	Work
71108	(649) 4404934	Home
71109	(689) 8841250	Work
71110	(552) 1907063	Work
71110	(141) 9582526	Home
71111	(794) 5516580	Work
71111	(385) 8741638	Home
71112	(354) 7695296	Work
71113	(781) 5499974	Work
71113	(415) 6905697	Home
71114	(603) 9932247	Work
71114	(582) 9027445	Home
71115	(946) 2793787	Work
71116	(615) 4188230	Work
71116	(801) 4830287	Home
71117	(673) 9033574	Work
71117	(609) 9743949	Home
71118	(823) 5440358	Work
71119	(368) 1208306	Work
71119	(234) 2249635	Home
71120	(260) 3306083	Work
71120	(928) 7018455	Home
71121	(481) 6365378	Work
71122	(342) 5075674	Work
71122	(403) 8438714	Home
71123	(594) 8538368	Work
71123	(228) 9525693	Home
71124	(781) 9954405	Work
71125	(303) 3677998	Work
71125	(282) 7911188	Home
71126	(280) 2167859	Work
71126	(727) 9625434	Home
71127	(829) 8604064	Work
71128	(196) 7058006	Work
71128	(578) 2173327	Home
71129	(353) 8061880	Work
71129	(802) 7557064	Home
71130	(460) 7497312	Work
71131	(517) 2813360	Work
71131	(959) 4494023	Home
71132	(107) 5017988	Work
71132	(895) 9855686	Home
71133	(308) 5006753	Work
71134	(395) 1595603	Work
71134	(208) 3278770	Home
71135	(347) 1509247	Work
71135	(975) 4042389	Home
71136	(139) 6798084	Work
71137	(103) 3761793	Work
71137	(880) 6932377	Home
71138	(936) 8024231	Work
71138	(171) 7590679	Home
71139	(457) 2631824	Work
71140	(274) 4156988	Work
71140	(126) 1474176	Home
71141	(178) 1887092	Work
71141	(179) 6181726	Home
71142	(665) 3806001	Work
71143	(703) 7757806	Work
71143	(722) 3414164	Home
71144	(606) 6272137	Work
71144	(786) 9086105	Home
71145	(905) 1428034	Work
71146	(427) 6464446	Work
71146	(145) 7344454	Home
71147	(484) 8777492	Work
71147	(902) 7710856	Home
71148	(773) 3986624	Work
71149	(872) 6205331	Work
71149	(254) 9675374	Home
71150	(727) 8831125	Work
71150	(305) 9052633	Home
71151	(542) 3106948	Work
71152	(706) 8396163	Work
71152	(881) 7164927	Home
71153	(195) 1614229	Work
71153	(487) 6154509	Home
71154	(175) 3770965	Work
71155	(533) 7231969	Work
71155	(935) 3070101	Home
71156	(962) 3928753	Work
71156	(644) 4838576	Home
71157	(945) 4851754	Work
71158	(112) 7769100	Work
71158	(494) 2164282	Home
71159	(832) 2833341	Work
71159	(623) 7003873	Home
71160	(900) 6830984	Work
71161	(808) 9197117	Work
71161	(321) 2777785	Home
71162	(209) 6880098	Work
71162	(724) 1029155	Home
71163	(729) 9615609	Work
71164	(436) 4234183	Work
71164	(251) 3070275	Home
71165	(105) 6173395	Work
71165	(825) 7376399	Home
71166	(628) 2982047	Work
71167	(400) 6565944	Work
71167	(790) 5238717	Home
71168	(306) 2906697	Work
71168	(803) 9435490	Home
71169	(345) 3808959	Work
71170	(717) 2825540	Work
71170	(123) 6320863	Home
71171	(804) 4229775	Work
71171	(412) 5533705	Home
71172	(187) 7144860	Work
71173	(101) 2218143	Work
71173	(275) 4684172	Home
71174	(856) 9403836	Work
71174	(545) 9201052	Home
71175	(391) 2215005	Work
71176	(936) 9472271	Work
71176	(946) 8014005	Home
71177	(766) 6184579	Work
71177	(920) 1002615	Home
71178	(400) 9474629	Work
71179	(139) 5189717	Work
71179	(787) 7367845	Home
71180	(968) 4687249	Work
71180	(272) 3606563	Home
71181	(506) 9626342	Work
71182	(331) 9456271	Work
71182	(513) 4807040	Home
71183	(904) 5989030	Work
71183	(337) 8993031	Home
71184	(629) 9277570	Work
71185	(691) 5358392	Work
71185	(785) 2989652	Home
71186	(540) 8233572	Work
71186	(139) 1870453	Home
71187	(265) 7196204	Work
71188	(230) 8242898	Work
71188	(386) 8919882	Home
71189	(273) 8398883	Work
71189	(611) 9167376	Home
71190	(707) 5786868	Work
71191	(702) 7436120	Work
71191	(522) 6897735	Home
71192	(873) 1033435	Work
71192	(183) 6180816	Home
71193	(311) 3890156	Work
71194	(592) 9931327	Work
71194	(463) 3251355	Home
71195	(747) 2590026	Work
71195	(590) 4357658	Home
71196	(838) 1573784	Work
71197	(352) 4920603	Work
71197	(437) 3261837	Home
71198	(551) 3140393	Work
71198	(767) 6507189	Home
71199	(834) 6643359	Work
71200	(898) 6881337	Work
71200	(184) 6236063	Home
71201	(594) 1285762	Work
71201	(764) 7067364	Home
71202	(100) 6331112	Work
71203	(754) 1350076	Work
71203	(133) 5216132	Home
71204	(581) 5188850	Work
71204	(759) 6257971	Home
71205	(368) 7598645	Work
71206	(845) 7084831	Work
71206	(191) 9841282	Home
71207	(407) 8595236	Work
71207	(316) 8092395	Home
71208	(785) 5644483	Work
71209	(533) 5995015	Work
71209	(530) 4344387	Home
71210	(862) 6412282	Work
71210	(824) 6185428	Home
71211	(764) 3616243	Work
71212	(356) 9181750	Work
71212	(598) 3210386	Home
71213	(969) 5492651	Work
71213	(396) 8237980	Home
71214	(994) 8738237	Work
71215	(324) 8295712	Work
71215	(396) 1350814	Home
71216	(787) 9907472	Work
71216	(431) 5147898	Home
71217	(345) 4497874	Work
71218	(186) 4044064	Work
71218	(115) 1245410	Home
71219	(192) 4406715	Work
71219	(101) 2132307	Home
71220	(384) 7764577	Work
71221	(334) 9865364	Work
71221	(820) 2453654	Home
71222	(486) 6488181	Work
71222	(599) 2381369	Home
71223	(592) 9034627	Work
71224	(441) 8332911	Work
71224	(477) 4325971	Home
71225	(200) 1370530	Work
71225	(138) 7255245	Home
71226	(675) 2858629	Work
71227	(240) 6853273	Work
71227	(395) 8775508	Home
71228	(400) 2285853	Work
71228	(257) 7190683	Home
71229	(602) 8868357	Work
71230	(598) 4318940	Work
71230	(408) 5051219	Home
71231	(371) 5939830	Work
71231	(609) 6823006	Home
71232	(642) 8760922	Work
71233	(737) 5432817	Work
71233	(990) 7094174	Home
71234	(436) 5906600	Work
71234	(347) 9598815	Home
71235	(858) 8259387	Work
71236	(540) 9487722	Work
71236	(869) 1465420	Home
71237	(222) 2089557	Work
71237	(219) 9495133	Home
71238	(381) 1459004	Work
71239	(291) 6519347	Work
71239	(645) 6882942	Home
71240	(278) 2937308	Work
71240	(300) 4138159	Home
71241	(431) 1585119	Work
71242	(139) 3170967	Work
71242	(148) 4549976	Home
71243	(397) 6507146	Work
71243	(440) 1079806	Home
71244	(684) 2804145	Work
71245	(141) 1556746	Work
71245	(703) 7043457	Home
71246	(246) 6159868	Work
71246	(416) 6080895	Home
71247	(598) 4742557	Work
71248	(614) 8895541	Work
71248	(764) 3816807	Home
71249	(486) 3648977	Work
71249	(806) 7907091	Home
71250	(924) 3880751	Work
71251	(179) 3329585	Work
71251	(502) 3126866	Home
71252	(134) 1285263	Work
71252	(947) 5796136	Home
71253	(317) 1052158	Work
71254	(997) 8565263	Work
71254	(810) 1602673	Home
71255	(124) 5600303	Work
71255	(102) 7791841	Home
71256	(958) 6144282	Work
71257	(931) 8822682	Work
71257	(359) 4742734	Home
71258	(401) 1568377	Work
71258	(999) 1830765	Home
71259	(572) 1677286	Work
71260	(251) 1839444	Work
71260	(166) 9394907	Home
71261	(577) 3586889	Work
71261	(311) 7707590	Home
71262	(157) 6064576	Work
71263	(650) 6130618	Work
71263	(424) 9234382	Home
71264	(597) 3055814	Work
71264	(281) 8359482	Home
71265	(292) 4469978	Work
71266	(727) 1932672	Work
71266	(892) 8649772	Home
71267	(632) 9747095	Work
71267	(268) 4544894	Home
71268	(650) 6673862	Work
71269	(779) 6215264	Work
71269	(593) 3212714	Home
71270	(263) 9262643	Work
71270	(610) 3762024	Home
71271	(873) 3129035	Work
71272	(167) 1136476	Work
71272	(109) 1567571	Home
71273	(609) 8100200	Work
71273	(331) 1758284	Home
71274	(955) 5280246	Work
71275	(820) 8399197	Work
71275	(405) 7487815	Home
71276	(223) 2567898	Work
71276	(695) 5914037	Home
71277	(109) 6928539	Work
71278	(898) 8940931	Work
71278	(152) 7308983	Home
71279	(989) 1122411	Work
71279	(987) 1827787	Home
71280	(384) 4384467	Work
71281	(483) 6460353	Work
71281	(145) 8724349	Home
71282	(254) 8653918	Work
71282	(135) 4893377	Home
71283	(812) 2489622	Work
71284	(117) 9072478	Work
71284	(866) 7175035	Home
71285	(607) 1117484	Work
71285	(943) 8658634	Home
71286	(534) 4501830	Work
71287	(327) 8759918	Work
71287	(244) 7860675	Home
71288	(716) 2895351	Work
71288	(743) 9373930	Home
71289	(822) 6268158	Work
71290	(529) 9129465	Work
71290	(779) 6960442	Home
71291	(226) 8701601	Work
71291	(634) 5080426	Home
71292	(998) 9055805	Work
71293	(558) 8274614	Work
71293	(429) 1199536	Home
71294	(942) 9485354	Work
71294	(308) 1182547	Home
71295	(470) 9945683	Work
71296	(171) 1956323	Work
71296	(498) 5280229	Home
71297	(970) 4670518	Work
71297	(714) 8331713	Home
71298	(630) 9548967	Work
71299	(576) 7537523	Work
71299	(275) 1938279	Home
71300	(493) 7834407	Work
71300	(397) 4816852	Home
71301	(116) 7181097	Work
71302	(180) 5410203	Work
71302	(804) 2986821	Home
71303	(864) 3471729	Work
71303	(212) 6990086	Home
71304	(807) 7513518	Work
71305	(461) 2294523	Work
71305	(824) 7286004	Home
71306	(855) 6364746	Work
71306	(126) 6118789	Home
71307	(473) 4103805	Work
71308	(175) 3538276	Work
71308	(293) 9412488	Home
71309	(314) 1672807	Work
71309	(934) 7606957	Home
71310	(502) 7509798	Work
71311	(651) 7990072	Work
71311	(636) 3359931	Home
71312	(685) 6156444	Work
71312	(478) 3418321	Home
71313	(970) 2182717	Work
71314	(128) 2956694	Work
71314	(575) 1697194	Home
71315	(331) 7681670	Work
71315	(782) 1935541	Home
71316	(206) 3866699	Work
71317	(514) 7959290	Work
71317	(664) 3605433	Home
71318	(489) 5411614	Work
71318	(549) 3324652	Home
71319	(562) 5915789	Work
71320	(213) 9858995	Work
71320	(341) 3191085	Home
71321	(711) 2432254	Work
71321	(120) 1325212	Home
71322	(988) 8647493	Work
71323	(178) 3273358	Work
71323	(663) 3034627	Home
71324	(151) 3974975	Work
71324	(308) 2595740	Home
71325	(190) 3324286	Work
71326	(439) 8570651	Work
71326	(204) 6229551	Home
71327	(599) 4489919	Work
71327	(741) 7505902	Home
71328	(871) 4233716	Work
71329	(139) 7776247	Work
71329	(405) 3404427	Home
71330	(537) 7250291	Work
71330	(309) 2381040	Home
71331	(977) 4735349	Work
71332	(492) 1288617	Work
71332	(481) 3208727	Home
71333	(403) 9199627	Work
71333	(752) 4793047	Home
71334	(607) 5182868	Work
71335	(478) 4441859	Work
71335	(404) 8026258	Home
71336	(362) 6642907	Work
71336	(662) 9050555	Home
71337	(314) 8747141	Work
71338	(122) 1788444	Work
71338	(471) 4467804	Home
71339	(236) 1998719	Work
71339	(275) 2640447	Home
71340	(276) 7596749	Work
71341	(143) 6377779	Work
71341	(927) 1566987	Home
71342	(770) 7969015	Work
71342	(962) 3299916	Home
71343	(156) 1347199	Work
71344	(442) 1320356	Work
71344	(818) 5716500	Home
71345	(732) 7477002	Work
71345	(769) 4877213	Home
71346	(769) 9161601	Work
71347	(890) 3036259	Work
71347	(745) 3153222	Home
71348	(660) 7921874	Work
71348	(248) 5348653	Home
71349	(835) 9184313	Work
71350	(822) 4486885	Work
71350	(765) 1381942	Home
71351	(634) 4763504	Work
71351	(409) 5151662	Home
71352	(583) 7029472	Work
71353	(710) 2473178	Work
71353	(651) 4944649	Home
71354	(615) 8310258	Work
71354	(623) 1726463	Home
71355	(739) 9161147	Work
71356	(682) 2638309	Work
71356	(480) 4560359	Home
71357	(467) 7392096	Work
71357	(925) 8874882	Home
71358	(536) 9051904	Work
71359	(185) 2730432	Work
71359	(413) 3032489	Home
71360	(136) 8273175	Work
71360	(829) 7652526	Home
71361	(851) 2501705	Work
71362	(465) 1350722	Work
71362	(445) 5990689	Home
71363	(316) 2439611	Work
71363	(840) 7035241	Home
71364	(337) 4477183	Work
71365	(711) 8851692	Work
71365	(308) 4895052	Home
71366	(456) 6862138	Work
71366	(992) 2515544	Home
71367	(630) 6770322	Work
71368	(335) 7443289	Work
71368	(423) 5797713	Home
71369	(204) 7239063	Work
71369	(323) 9199284	Home
71370	(369) 3011350	Work
71371	(885) 2969887	Work
71371	(813) 7465936	Home
71372	(679) 7060159	Work
71372	(311) 6478161	Home
71373	(786) 4693642	Work
71374	(265) 4999556	Work
71374	(519) 4172192	Home
71375	(188) 9263341	Work
71375	(451) 7060795	Home
71376	(516) 7477919	Work
71377	(922) 4813423	Work
71377	(303) 5858660	Home
71378	(186) 3244547	Work
71378	(520) 7045602	Home
71379	(168) 3493102	Work
71380	(540) 8782198	Work
71380	(297) 6838432	Home
71381	(987) 3162236	Work
71381	(653) 9374049	Home
71382	(956) 6444736	Work
71383	(240) 9583657	Work
71383	(449) 5494044	Home
71384	(192) 2714656	Work
71384	(272) 8969382	Home
71385	(230) 8283104	Work
71386	(375) 7991047	Work
71386	(107) 6589414	Home
71387	(510) 2567002	Work
71387	(534) 6716911	Home
71388	(891) 2945140	Work
71389	(678) 3447307	Work
71389	(868) 2603512	Home
71390	(908) 4331005	Work
71390	(192) 8608247	Home
71391	(663) 2879952	Work
71392	(582) 8060556	Work
71392	(378) 5498104	Home
71393	(404) 9174842	Work
71393	(825) 2408003	Home
71394	(530) 9545989	Work
71395	(951) 2096488	Work
71395	(621) 6211238	Home
71396	(181) 9792177	Work
71396	(487) 1607089	Home
71397	(343) 2128697	Work
71398	(463) 7908859	Work
71398	(381) 1199896	Home
71399	(697) 2078807	Work
71399	(854) 9628021	Home
71400	(549) 2861886	Work
71401	(769) 6444983	Work
71401	(423) 8421576	Home
71402	(360) 7098915	Work
71402	(831) 9961565	Home
71403	(180) 1286364	Work
71404	(246) 6987414	Work
71404	(946) 9596184	Home
71405	(835) 2584599	Work
71405	(637) 2496780	Home
71406	(785) 1693689	Work
71407	(982) 8445418	Work
71407	(442) 9118014	Home
71408	(384) 6578512	Work
71408	(994) 5143150	Home
71409	(891) 6165296	Work
71410	(500) 8272801	Work
71410	(712) 8670306	Home
71411	(833) 1356228	Work
71411	(318) 9846544	Home
71412	(803) 5270046	Work
71413	(959) 5151520	Work
71413	(708) 5755295	Home
71414	(201) 7314326	Work
71414	(550) 6826394	Home
71415	(401) 3854509	Work
71416	(928) 4291329	Work
71416	(865) 9651198	Home
71417	(689) 9352647	Work
71417	(784) 2377556	Home
71418	(864) 8310412	Work
71419	(764) 4167441	Work
71419	(348) 4649274	Home
71420	(776) 2877859	Work
71420	(914) 8141077	Home
71421	(391) 6358751	Work
71422	(434) 6760667	Work
71422	(809) 5556344	Home
71423	(659) 8493678	Work
71423	(811) 2820779	Home
71424	(317) 4942008	Work
71425	(415) 4709260	Work
71425	(345) 4891242	Home
71426	(666) 3873173	Work
71426	(713) 3089933	Home
71427	(539) 4698216	Work
71428	(561) 9789993	Work
71428	(801) 9982351	Home
71429	(237) 5335855	Work
71429	(598) 7695737	Home
71430	(490) 2337708	Work
71431	(388) 8144897	Work
71431	(118) 3052999	Home
71432	(921) 6210441	Work
71432	(965) 2105984	Home
71433	(797) 8819752	Work
71434	(520) 1821743	Work
71434	(404) 6648830	Home
71435	(880) 1453166	Work
71435	(768) 3137849	Home
71436	(107) 9244735	Work
71437	(251) 4883374	Work
71437	(791) 8924428	Home
71438	(509) 8667920	Work
71438	(209) 3083085	Home
71439	(822) 3108753	Work
71440	(513) 9196718	Work
71440	(514) 9855421	Home
71441	(145) 3534562	Work
71441	(654) 2465172	Home
71442	(191) 9189146	Work
71443	(314) 8568060	Work
71443	(914) 9469550	Home
71444	(693) 2410554	Work
71444	(805) 6574850	Home
71445	(909) 3194951	Work
71446	(273) 7164659	Work
71446	(878) 4734710	Home
71447	(255) 8370327	Work
71447	(115) 6065356	Home
71448	(853) 5419338	Work
71449	(603) 2073519	Work
71449	(156) 9115747	Home
71450	(492) 8150138	Work
71450	(951) 7539499	Home
71451	(538) 7448407	Work
71452	(507) 1822298	Work
71452	(972) 3368399	Home
71453	(313) 9965429	Work
71453	(961) 5011640	Home
71454	(359) 4221311	Work
71455	(516) 6148542	Work
71455	(525) 6471687	Home
71456	(836) 2998092	Work
71456	(299) 2659622	Home
71457	(910) 4015086	Work
71458	(465) 4701402	Work
71458	(829) 2654543	Home
71459	(501) 4221158	Work
71459	(928) 6947749	Home
71460	(227) 3524432	Work
71461	(390) 3763743	Work
71461	(756) 8867865	Home
71462	(338) 2351000	Work
71462	(244) 8691188	Home
71463	(483) 1531546	Work
71464	(927) 2326222	Work
71464	(913) 5490544	Home
71465	(316) 6919409	Work
71465	(153) 8519765	Home
71466	(936) 8402960	Work
71467	(436) 4992449	Work
71467	(950) 7706487	Home
71468	(407) 1397098	Work
71468	(844) 2374538	Home
71469	(808) 9145269	Work
71470	(189) 2996375	Work
71470	(840) 6793125	Home
71471	(916) 1865643	Work
71471	(485) 3575632	Home
71472	(458) 6708720	Work
71473	(364) 9282025	Work
71473	(269) 4067501	Home
71474	(541) 7032277	Work
71474	(950) 8287677	Home
71475	(371) 2606310	Work
71476	(112) 9821819	Work
71476	(168) 4863987	Home
71477	(800) 1956965	Work
71477	(723) 5829992	Home
71478	(899) 2768582	Work
71479	(327) 3308494	Work
71479	(938) 1542475	Home
71480	(645) 2714704	Work
71480	(130) 4020157	Home
71481	(158) 3710380	Work
71482	(480) 2444911	Work
71482	(345) 7462306	Home
71483	(708) 2078670	Work
71483	(448) 3459076	Home
71484	(584) 7423248	Work
71485	(143) 1301754	Work
71485	(514) 7224332	Home
71486	(390) 9696370	Work
71486	(541) 2642662	Home
71487	(761) 2742602	Work
71488	(870) 1245617	Work
71488	(301) 7686728	Home
71489	(824) 7819543	Work
71489	(774) 5121190	Home
71490	(291) 9228602	Work
71491	(533) 5882696	Work
71491	(216) 6914399	Home
71492	(605) 6342364	Work
71492	(928) 4474552	Home
71493	(985) 4872873	Work
71494	(466) 3919330	Work
71494	(844) 5795823	Home
71495	(194) 4362647	Work
71495	(948) 6808568	Home
71496	(313) 8257687	Work
71497	(822) 7475013	Work
71497	(550) 9269189	Home
71498	(490) 4154584	Work
71498	(809) 4950748	Home
71499	(874) 1978820	Work
71500	(282) 9095739	Work
71500	(601) 4601007	Home
